x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
0,0,5.48329,4.11E-06,1.38281,2.51405
1,0,5.97788,5.10E-06,1.46036,2.66475
2,0,5.31126,6.21E-06,1.55984,2.86064
3,0,4.40961,6.39E-06,1.58481,2.92312
4,0,4.77237,3.97E-06,1.60677,2.96823
5,0,4.86297,2.96E-06,1.60312,2.95147
6,0,6.29475,2.47E-06,1.56684,2.8815
7,0,4.96469,2.01E-06,1.5329,2.81984
8,0,5.6144,1.81E-06,1.5121,2.77339
9,0,4.75434,2.11E-06,1.4744,2.69453
10,0,5.77332,3.15E-06,1.43138,2.60635
11,0,5.71556,5.52E-06,1.36335,2.47201
12,0,5.1271,1.05E-05,1.28185,2.31023
13,0,5.25414,1.33E-05,1.2226,2.1901
14,0,5.34178,1.27E-05,1.1853,2.1086
15,0,6.41387,8.32E-06,1.16065,2.05081
16,0,8.27497,4.27E-06,1.15747,2.04241
17,0,4.14783,1.92E-06,1.1814,2.09039
18,0,6.19855,1.87E-06,1.16496,2.0666
19,0,6.21093,1.43E-06,1.19684,2.13388
20,0,5.65496,1.87E-06,1.22781,2.20352
21,0,4.20545,3.25E-06,1.27472,2.30278
22,0,4.83281,3.93E-06,1.34987,2.44617
0,1,-0.000468449,3.30E-06,1.30452,2.338
1,1,0.00295307,3.41E-06,1.34492,2.41763
2,1,-0.00277965,7.68E-06,1.40637,2.52868
3,1,-0.000413744,1.20E-05,1.35449,2.4535
4,1,0.000849648,6.98E-06,1.38238,2.51766
5,1,-0.00409203,3.25E-06,1.43596,2.61102
6,1,-0.00693381,2.80E-06,1.37229,2.49207
7,1,-0.000985179,2.13E-06,1.34713,2.44336
8,1,-4.73E-05,4.06E-07,1.34368,2.43166
9,1,0.000243817,5.61E-07,1.35066,2.4361
10,1,0.000642491,2.03E-06,1.3425,2.41346
11,1,0.000575554,3.41E-06,1.32944,2.37765
12,1,-0.00111872,6.29E-06,1.30068,2.31148
13,1,0.0032674,5.99E-06,1.26745,2.23677
14,1,0.00165384,4.86E-06,1.25855,2.21992
15,1,0.000229339,7.41E-06,1.29295,2.27911
16,1,0.000473585,9.24E-06,1.29156,2.27046
17,1,0.000542545,7.95E-06,1.3071,2.29389
18,1,0.000613739,5.48E-06,1.23751,2.15943
19,1,-0.000269454,1.49E-06,1.28324,2.2387
20,1,0.00154931,1.17E-06,1.272,2.24061
21,1,0.0059822,1.82E-06,1.26266,2.24271
22,1,0.000421456,1.84E-06,1.33862,2.39069
0,2,0.0043563,4.84E-06,1.29281,2.30836
1,2,0.00121659,4.86E-06,1.32319,2.37231
2,2,0.00307154,6.61E-06,1.39255,2.4966
3,2,0.00505819,9.97E-06,1.33973,2.41048
4,2,-0.00273268,9.01E-06,1.36202,2.46236
5,2,0.00154689,5.70E-06,1.3966,2.52966
6,2,0.0117557,4.09E-06,1.32931,2.40659
7,2,0.00237133,1.90E-06,1.31336,2.37107
8,2,-0.00016605,4.07E-07,1.31095,2.36008
9,2,0.00135242,6.19E-07,1.32829,2.38167
10,2,0.000937829,1.31E-06,1.31828,2.35334
11,2,0.00110595,9.31E-07,1.31015,2.32962
12,2,-0.00141942,2.44E-06,1.28904,2.28451
13,2,0.000996677,3.52E-06,1.27151,2.24539
14,2,0.000862606,5.52E-06,1.26657,2.24239
15,2,-0.0004025,9.18E-06,1.29374,2.28536
16,2,0.000286854,1.11E-05,1.30212,2.29182
17,2,0.000389545,1.14E-05,1.32318,2.31848
18,2,0.00163659,5.52E-06,1.27259,2.2192
19,2,0.000213848,3.07E-06,1.29628,2.26855
20,2,0.000985044,1.36E-06,1.28053,2.25348
21,2,-0.00607734,6.12E-07,1.28836,2.28104
22,2,-0.00132053,1.36E-06,1.34705,2.39375
0,3,0.000208185,5.82E-06,1.30114,2.32634
1,3,0.00141508,7.94E-06,1.31078,2.35743
2,3,-0.00239742,8.21E-06,1.37922,2.48675
3,3,-0.00597213,9.43E-06,1.34484,2.42218
4,3,-0.00293331,8.17E-06,1.34505,2.42384
5,3,0.000888994,6.86E-06,1.38413,2.5009
6,3,-0.00590465,4.99E-06,1.314,2.37535
7,3,0.0018139,2.49E-06,1.29618,2.32988
8,3,-0.000319268,9.84E-07,1.30169,2.32892
9,3,0.00101624,6.56E-07,1.32063,2.34705
10,3,0.00024381,6.33E-07,1.31499,2.32803
11,3,0.000734325,6.62E-07,1.29949,2.29592
12,3,-0.00298518,1.06E-06,1.27987,2.26282
13,3,-0.00261782,3.87E-06,1.26512,2.23784
14,3,-0.000339926,7.27E-06,1.25557,2.2246
15,3,-0.000731826,1.00E-05,1.2988,2.29955
16,3,0.000324383,1.52E-05,1.30596,2.30997
17,3,-0.000392971,1.29E-05,1.32851,2.34234
18,3,0.000294611,8.70E-06,1.2947,2.27374
19,3,4.49E-05,5.14E-06,1.311,2.30791
20,3,-5.36E-05,1.83E-06,1.29844,2.29301
21,3,0.00366163,5.53E-07,1.30235,2.30557
22,3,-0.000797326,1.38E-06,1.36547,2.42599
0,4,0.00383973,3.99E-06,1.32457,2.37514
1,4,-9.24E-06,1.07E-05,1.31809,2.36975
2,4,0.00296256,1.42E-05,1.38535,2.50464
3,4,0.0003076,1.08E-05,1.33844,2.41376
4,4,0.000304623,9.97E-06,1.33245,2.40113
5,4,-0.0046579,9.91E-06,1.37602,2.48306
6,4,0.00502687,8.00E-06,1.29224,2.3272
7,4,-0.00291945,5.24E-06,1.28192,2.29118
8,4,-0.00306189,2.59E-06,1.28349,2.28031
9,4,-0.00294581,9.58E-07,1.30597,2.30806
10,4,-0.00197595,4.69E-07,1.30885,2.30454
11,4,-0.00142159,1.50E-06,1.29413,2.27084
12,4,-0.00354807,1.15E-06,1.25854,2.21235
13,4,-0.000724497,3.72E-06,1.24479,2.19952
14,4,0.00115476,9.93E-06,1.24054,2.20213
15,4,-0.00011195,2.06E-05,1.29818,2.30473
16,4,0.000434394,2.51E-05,1.30791,2.31865
17,4,4.90E-05,1.55E-05,1.33989,2.3718
18,4,-0.000139264,8.68E-06,1.31517,2.3247
19,4,0.001003,7.47E-06,1.32856,2.35524
20,4,0.0027236,4.01E-06,1.31433,2.33798
21,4,0.00147231,8.58E-07,1.32736,2.36251
22,4,0.000827697,7.83E-07,1.39072,2.47939
0,5,0.000502717,4.23E-06,1.36789,2.46213
1,5,0.00147056,1.29E-05,1.37164,2.47362
2,5,5.27E-05,1.62E-05,1.42524,2.58076
3,5,0.000578385,1.48E-05,1.34735,2.42599
4,5,-0.00127463,2.05E-05,1.32636,2.3794
5,5,-0.00981288,1.95E-05,1.35635,2.43607
6,5,-0.00395928,1.68E-05,1.26094,2.25287
