y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
0,0,0.07843,8.92e-06,1.5281,2.88208
0,1,0.0590616,1.81e-05,1.55094,2.92381
0,2,-0.00844743,3.64e-05,1.65388,3.12733
0,3,-0.0602672,4.32e-05,1.71149,3.22469
0,4,-0.113458,4.35e-05,1.75955,3.28999
0,5,-0.15566,4.33e-05,1.81257,3.36201
0,6,-0.143933,4.89e-05,1.86901,3.44092
0,7,-0.131301,4.57e-05,1.89568,3.47884
0,8,-0.126523,3.76e-05,1.95511,3.57512
0,9,-0.141,3.14e-05,1.93215,3.51939
0,10,-0.092398,3.5e-05,1.83222,3.31172
0,11,-0.0742182,2.9e-05,1.68558,3.02435
0,12,-0.0514898,2.2e-05,1.56017,2.78287
0,13,-0.0121835,1.14e-05,1.50255,2.68134
0,14,0.0194112,5.4e-06,1.45067,2.60266
0,15,0.0163332,1.18e-05,1.44191,2.61684
0,16,0.0234639,2.66e-05,1.47614,2.70933
0,17,0.0307681,6.45e-05,1.52312,2.82766
0,18,0.0637315,8.68e-05,1.57107,2.9628
0,19,0.0533112,8.85e-05,1.55856,2.96128
0,20,0.058173,8.52e-05,1.54637,2.94587
0,21,0.0795001,6.72e-05,1.54934,2.94027
0,22,0.05707,2.77e-05,1.55316,2.94353
1,0,-0.0458428,7.41e-06,1.76607,3.42273
1,1,-0.0949173,1.35e-05,1.73876,3.33278
1,2,-0.125896,2.52e-05,1.62831,3.07163
1,3,-0.139754,3.9e-05,1.47336,2.71103
1,4,-0.0891109,6.72e-05,1.29042,2.29903
1,5,-0.0685349,0.000142219,1.2169,2.11863
1,6,-0.078728,0.000154471,1.26391,2.18433
1,7,-0.0809837,0.000151113,1.34586,2.32036
1,8,-0.084778,9.54e-05,1.44849,2.48917
1,9,-0.0795557,6.07e-05,1.45683,2.49719
1,10,-0.0455478,4.72e-05,1.4324,2.44988
1,11,-0.0187544,3.62e-05,1.38538,2.37093
1,12,0.0203772,3.19e-05,1.32323,2.2677
1,13,0.0551168,1.94e-05,1.31053,2.26488
1,14,0.0496897,8.61e-06,1.32681,2.33283
1,15,0.0508043,7.6e-06,1.38841,2.49392
1,16,0.0448195,1.96e-05,1.48128,2.70718
1,17,0.0447726,5.05e-05,1.57955,2.94333
1,18,0.0210786,6.43e-05,1.65656,3.16106
1,19,0.00520451,6.07e-05,1.72745,3.33656
1,20,-0.00559562,5.75e-05,1.75185,3.40215
1,21,-0.0108149,4.58e-05,1.8002,3.51049
1,22,-0.0129808,2.04e-05,1.78606,3.48129
2,0,-0.0425711,1.25e-05,1.67878,3.25832
2,1,-0.0226878,1.38e-05,1.44773,2.72725
2,2,-0.00744685,2.12e-05,1.14387,2.05503
2,3,0.0840932,5.56e-05,0.876824,1.48416
2,4,0.0728026,0.000281788,0.716841,1.13846
2,5,0.0719717,0.000801533,0.686902,1.06839
2,6,0.0781338,0.00121659,0.72596,1.13685
2,7,0.0168132,0.00114874,0.787716,1.22336
2,8,-0.0156815,0.000673653,0.885662,1.36069
2,9,-0.0434313,0.000342764,0.955044,1.46966
2,10,-0.0742873,0.000181333,1.04816,1.63976
2,11,-0.0720993,0.000100328,1.14521,1.84137
2,12,-0.0845769,8.3e-05,1.20701,1.98728
2,13,-0.0910174,6.82e-05,1.29116,2.18049
2,14,-0.0264754,2.25e-05,1.15106,2.05823
2,15,-0.0733533,1.81e-05,1.53678,2.74735
2,16,-0.0470005,1.07e-05,1.67209,3.06598
2,17,-0.0440072,1.64e-05,1.79284,3.38763
2,18,-0.0300843,2.71e-05,1.83989,3.55971
2,19,-0.0205885,2.72e-05,1.88493,3.70106
2,20,-0.032969,3.04e-05,1.89262,3.73462
2,21,-0.0479762,2.89e-05,1.89349,3.75607
2,22,-0.0480575,1.92e-05,1.80724,3.56681
3,0,-0.00359883,7.87e-05,1.43159,2.74037
3,1,0.00940872,0.000101596,1.15394,2.12084
3,2,0.110046,0.000104798,0.852785,1.46068
3,3,0.0904508,8.54e-05,0.646849,1.01637
3,4,0.125054,0.000715247,0.553866,0.805167
3,5,0.0756717,0.00217478,0.549137,0.808368
3,6,0.0508301,0.00341074,0.574348,0.87231
3,7,0.0284878,0.00352292,0.579019,0.861882
3,8,-0.0147654,0.00281202,0.60187,0.853854
3,9,-0.0508582,0.00235163,0.609949,0.823862
3,10,-0.061735,0.00176797,0.668069,0.902586
3,11,-0.0914446,0.000836244,0.800274,1.1461
3,12,-0.0900088,0.000558926,0.888757,1.33748
3,13,-0.0830417,0.000424465,1.02178,1.61389
3,14,-0.0976395,0.000271616,1.17353,1.93444
3,15,-0.125893,0.000171796,1.33181,2.27718
3,16,-0.146253,8.7e-05,1.55065,2.7684
3,17,-0.123932,3.86e-05,1.72552,3.20515
3,18,-0.116071,1.97e-05,1.83581,3.51772
3,19,-0.099516,1.57e-05,1.90545,3.72486
3,20,-0.0849778,2.3e-05,1.88074,3.71083
3,21,-0.0506507,3.68e-05,1.75758,3.48713
3,22,-0.0330516,5.4e-05,1.61634,3.17362
4,0,0.00455171,0.000252529,1.30926,2.50965
4,1,0.0388041,0.000400972,1.04597,1.92166
4,2,0.0342263,0.000443009,0.83025,1.41907
4,3,0.049791,0.000191691,0.662403,1.02896
4,4,0.0514647,0.000997909,0.577508,0.839134
4,5,0.048169,0.0038016,0.546362,0.813672
4,6,0.0305602,0.00630957,0.541766,0.839446
4,7,0.0203289,0.00800985,0.508812,0.776542
4,8,0.0406963,0.0108431,0.442086,0.629412
4,9,0.028165,0.0147395,0.378463,0.483223
4,10,0.00105911,0.0141641,0.379707,0.448146
4,11,-0.0123923,0.00953603,0.435592,0.523465
4,12,-0.0434043,0.00576384,0.524044,0.677653
4,13,-0.0763488,0.00364754,0.639508,0.891828
4,14,-0.0759268,0.00218028,0.756829,1.12158
4,15,-0.0778922,0.00141506,0.843831,1.31093
4,16,-0.0860396,0.000856789,0.996388,1.62489
4,17,-0.113354,0.000411853,1.18547,2.03938
4,18,-0.114003,0.000134526,1.40618,2.55192
4,19,-0.093643,3.71e-05,1.5869,2.99052
4,20,-0.0749107,2.83e-05,1.61743,3.12417
4,21,-0.0444426,6.14e-05,1.56273,3.05933
4,22,-9.29e-06,0.000132608,1.47465,2.88548
5,0,0.00963302,0.000369186,1.36046,2.64656
5,1,0.0558625,0.000746398,1.11776,2.1081
5,2,0.0860583,0.000814871,0.882503,1.56666
