x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
21,46,-0.315707,0.000547015,4.6784,11.0777
22,46,0.0056833,0.000673126,4.11617,9.49712
22,62,0.414982,0.00013856,3.82205,8.97802
20,45,-0.178081,0.000796714,3.62255,8.84995
4,45,-0.350263,0.00118402,3.66547,8.69228
5,44,-0.0110913,0.00573103,3.62062,8.6397
2,46,-0.0538423,0.000372369,3.80696,8.61164
21,62,-0.855902,0.000103395,3.35226,8.31
21,47,0.110294,0.0011872,3.5552,7.91947
3,46,-0.0645623,0.000884251,3.48002,7.84633
1,46,-0.218147,0.000172547,3.38842,7.5174
20,46,-0.200684,0.000436228,3.16532,7.46506
0,46,-1.39522,0.000114493,3.24782,7.34654
6,43,0.0827054,0.00661804,2.96343,7.16765
3,45,0.0326471,0.0017808,3.08774,7.1268
8,48,-0.081902,0.00242141,3.15107,7.06381
1,58,0.208246,0.000264471,2.92075,7.01233
0,62,-0.999264,2.46E-05,3.12372,6.99155
21,61,-0.206527,0.000268242,2.67182,6.96293
13,100,0.480805,0.000487592,3.14478,6.95703
22,47,0.636016,0.000886059,3.22075,6.90634
0,58,-0.226843,0.000381533,2.84324,6.80578
11,94,-0.330364,0.000830592,2.96788,6.7529
17,95,0.112448,0.0012812,3.01751,6.71988
4,46,-0.00516891,0.00159774,2.95984,6.71593
20,61,-1.50542,0.000418263,2.48483,6.59212
1,45,-0.0852682,0.000399455,2.91344,6.57935
22,41,0.220993,0.00130006,2.88587,6.57723
1,62,-0.0561298,5.84E-05,2.95838,6.52459
7,77,0.127987,0.000225284,2.98097,6.43372
20,62,-0.269911,0.000221034,2.59951,6.43115
20,44,-0.0200172,0.00189293,2.55262,6.4215
12,95,-0.301203,0.000247064,2.9255,6.36709
21,45,0.166289,0.000987385,2.74853,6.36265
8,47,0.302253,0.00452048,2.81836,6.35903
6,44,0.0244017,0.00509445,2.73613,6.35041
4,54,0.099249,0.000428539,2.82224,6.34777
9,96,-0.592338,0.000403518,2.57826,6.27036
8,49,-0.298367,0.00137665,2.82444,6.2671
3,67,0.00304629,0.000110885,2.64513,6.14786
15,100,0.200542,0.000477089,2.83077,6.12859
4,53,-0.0534132,0.000695873,2.65248,6.08395
14,38,-2.27409,0.000192027,3.1411,6.07213
14,95,-0.618519,0.000506011,2.89518,6.05977
19,97,0.105177,0.00151518,2.67809,6.04384
