y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
0,0,0.410303,0.000147882,0.904823,1.49087
0,1,-0.0880022,9.51e-05,1.22768,2.14322
0,2,-0.173193,0.000196596,1.22314,2.14898
0,3,0.564634,0.000125289,1.51274,2.71244
0,4,-0.231859,5.98e-05,2.51693,4.65281
0,5,-0.513789,0.000129821,2.60188,4.80957
0,6,-0.206757,0.00010617,2.50971,4.62252
0,7,-0.393575,6.56e-05,2.11271,3.83955
0,8,0.358012,0.000200173,1.63229,2.87114
0,9,-0.187575,9.67e-05,1.98683,3.54693
0,10,0.0281771,8.21e-05,1.6144,2.82061
0,11,-0.213841,4.08e-05,1.18785,1.93835
0,12,-0.031976,1.54e-05,1.18484,1.92638
0,13,-0.331888,4.62e-05,1.31012,2.17092
0,14,0.15603,0.000139284,1.03617,1.69187
0,15,-0.0110253,0.000172423,1.14734,1.92934
0,16,0.00922726,0.000269176,1.38654,2.4219
0,17,-0.0491665,0.000282165,1.41216,2.50077
0,18,-0.21781,0.000243737,1.52332,2.73316
0,19,0.262695,0.000260398,1.3599,2.45385
0,20,1.14535,0.000149067,1.04854,1.81993
0,21,0.00214491,0.000283702,1.35348,2.39788
0,22,0.572877,0.00042758,0.939295,1.59495
1,0,-0.082941,1.69e-05,1.88473,3.5332
1,1,-0.0667146,6.23e-05,1.80213,3.39345
1,2,0.0797234,0.000115943,1.89864,3.57182
1,3,-0.92427,9.85e-05,2.06686,3.81871
1,4,-0.696159,0.00141005,1.2728,2.13238
1,5,-0.339019,0.0147632,0.865816,1.26519
1,6,-0.351792,0.00283083,1.24126,2.00703
1,7,-0.271383,6.2e-05,1.39017,2.33969
1,8,-0.341742,0.000120212,1.54499,2.64679
1,9,-0.0739224,0.000116231,1.54982,2.61747
1,10,-0.194312,4.49e-05,1.57184,2.63755
1,11,0.104913,4.45e-05,1.16755,1.8697
1,12,-0.198722,1.69e-05,0.96735,1.49466
1,13,0.553706,0.000136412,0.968692,1.51591
1,14,0.0400461,9.78e-05,1.0478,1.72007
1,15,0.000830117,8.05e-05,1.21844,2.04585
1,16,-0.00336357,0.000224111,1.44196,2.51009
1,17,0.0166326,0.000302499,1.44295,2.60261
1,18,0.0696269,0.000171616,1.53993,2.78235
1,19,-0.119635,9.04e-05,1.54004,2.80548
1,20,-0.865888,0.000178044,1.62782,3.00023
1,21,0.290312,0.000238774,1.48746,2.7426
1,22,-0.0546789,0.000121705,1.84342,3.4803
2,0,-0.139791,4.82e-06,2.18856,4.22817
2,1,-0.245013,2.18e-05,1.84821,3.53016
2,2,-0.424101,0.000129961,1.37283,2.49006
2,3,0.864228,0.0237325,0.496194,0.632309
2,4,-0.573779,0.0391189,0.186648,0.0962894
2,5,1.19536,0.0310992,0.205589,0.32719
2,6,1.0593,0.0123017,0.365046,0.521086
2,7,-0.0699217,0.00553848,0.596249,0.821015
2,8,-0.0667722,0.00462512,0.661495,0.903376
2,9,-0.478206,0.000842722,0.976046,1.41686
2,10,0.142193,7.99e-05,1.27582,1.94752
2,11,0.0115306,2.23e-05,1.16959,1.80133
2,12,0.478617,1.36e-05,0.949671,1.44179
2,13,-0.905072,2.38e-05,1.33426,2.11986
2,14,-0.404077,1.55e-05,1.61637,2.72896
2,15,-0.214586,1.94e-05,1.49151,2.55739
2,16,-0.0188526,9.15e-05,1.52839,2.70091
2,17,0.179407,9.36e-05,1.99514,3.70871
2,18,-0.615084,4.8e-05,2.04331,3.82475
2,19,0.224805,4.93e-05,1.63887,3.03126
2,20,0.215488,6.01e-05,1.81368,3.3839
2,21,-0.141031,4.51e-05,2.04422,3.89182
2,22,0.059253,2.66e-05,2.1206,4.07046
3,0,-0.145338,1.93e-05,1.79052,3.42245
3,1,0.0853221,4.69e-05,1.5192,2.83344
3,2,1.39968,0.00219133,0.622677,0.945628
3,3,0.645223,0.0796037,0.169424,0.153677
3,4,0.963371,0.0415253,0.206685,0.16955
3,5,-0.544584,0.00680067,0.547713,0.823422
3,6,-0.306189,0.00804324,0.505321,0.766912
3,7,0.431801,0.0117948,0.376809,0.554751
3,8,0.131057,0.0116096,0.364065,0.483508
3,9,0.0428559,0.00673131,0.45353,0.515678
3,10,-0.155613,0.00461025,0.522205,0.552577
3,11,-0.384588,0.000484804,0.836688,1.12649
3,12,-0.152787,0.000184826,0.892163,1.2964
3,13,0.790123,0.000713939,0.623297,0.882684
3,14,0.610369,0.000499217,0.980626,1.51595
3,15,-0.32771,6.34e-05,1.25962,2.08394
3,16,-0.557861,4.65e-05,1.78641,3.13963
3,17,0.267522,3.6e-05,2.45386,4.53448
3,18,-0.0598687,4.66e-05,1.8477,3.40122
3,19,0.336384,5.75e-05,1.64667,3.07782
3,20,-0.52203,2.28e-05,1.60177,2.98218
3,21,-0.39783,1.85e-05,1.79647,3.41331
3,22,-0.142678,2.19e-05,1.98859,3.80106
4,0,-0.0491369,0.000172049,1.28022,2.34741
4,1,-0.512906,0.000479191,1.07422,1.87894
4,2,-1.2202,0.000921277,0.717745,1.12938
4,3,-0.600436,0.000543188,0.737343,1.11104
4,4,-1.36532,0.00163659,0.662501,0.983917
4,5,-0.261608,0.00490133,0.67064,1.07249
4,6,0.327163,0.00736875,0.631275,0.988736
4,7,-0.536082,0.00656261,0.57171,0.829245
4,8,-0.136931,0.0123013,0.390938,0.493547
4,9,-0.293037,0.0389015,0.261004,0.280988
4,10,-0.193112,0.0624878,0.204621,0.21709
4,11,0.0543473,0.012046,0.487293,0.528878
4,12,-0.274759,0.00125294,0.888776,1.20032
4,13,-0.934243,0.000508194,0.962798,1.36947
4,14,-0.596311,0.000875705,0.93198,1.36919
4,15,-0.505838,0.000810209,0.836117,1.25761
4,16,-0.335058,0.000490817,1.13214,1.83904
4,17,0.642939,0.000148956,1.84512,3.11596
4,18,-0.0561839,8.48e-05,1.64568,2.95046
4,19,0.784869,8.82e-05,1.12659,2.0405
4,20,-0.244804,2.32e-05,1.495,2.80233
4,21,0.473003,4.97e-05,1.42567,2.65555
4,22,0.248855,0.000130273,1.06653,1.90313
5,0,-0.115569,0.00129315,0.939121,1.64845
5,1,0.277467,0.00441174,0.65891,1.09315
5,2,-0.305261,0.0105549,0.424224,0.626027
5,3,1.04904,0.0126742,0.482724,0.679305
5,4,-0.0811292,0.00164244,0.600828,0.870567
5,5,-0.0381591,0.00767941,0.566267,0.888497
5,6,0.0712018,0.0113018,0.60043,1.01269
5,7,0.526748,0.0108743,0.4549,0.796131
5,8,0.35063,0.0258696,0.239629,0.394787
5,9,0.687072,0.0524578,0.157918,0.293259
5,10,0.299093,0.0731588,0.147323,0.285228
5,11,0.0194312,0.0371043,0.260364,0.358531
5,12,-0.0106092,0.0266509,0.304032,0.363199
5,13,0.0540337,0.0600831,0.25055,0.294054
5,14,0.321917,0.0538574,0.200388,0.24783
5,15,-0.145481,0.00997342,0.400691,0.567084
5,16,-0.250489,0.00638107,0.538544,0.782848
5,17,0.210669,0.0249362,0.466223,0.571216
5,18,-1.56555,0.00492774,1.1303,1.78801
5,19,-0.468346,0.000162321,2.05958,3.78697
5,20,-0.0643648,4.11e-05,1.98816,3.72085
5,21,-0.118407,6.09e-05,1.5442,2.91489
5,22,-0.274576,0.00016053,1.27951,2.37306
6,0,-0.125743,0.000824961,1.25281,2.37344
6,1,0.400908,0.00395668,0.708948,1.25871
6,2,0.820927,0.0166363,0.36681,0.623359
6,3,-0.246682,0.0112231,0.306496,0.357706
6,4,0.000211015,0.00390445,0.434872,0.53953
6,5,-0.0705358,0.0161696,0.469503,0.763274
6,6,0.163715,0.0180873,0.554494,1.04437
6,7,-0.205649,0.0139346,0.61862,1.13078
6,8,-0.975256,0.034853,0.323089,0.543557
6,9,-0.186596,0.0636278,0.197134,0.378751
6,10,0.617257,0.0584133,0.164908,0.314079
6,11,0.0860052,0.0420972,0.213343,0.330774
6,12,0.0427991,0.0561041,0.181889,0.268361
6,13,0.534339,0.128415,0.185576,0.198988
6,14,0.900709,0.0331323,0.455147,0.598804
6,15,-1.00985,0.0160319,0.456276,0.625803
6,16,-0.0306526,0.0386996,0.233732,0.406502
6,17,0.213827,0.0353309,0.191997,0.394137
6,18,0.116356,0.0167173,0.266715,0.460701
6,19,0.736017,0.0190503,0.494655,0.611631
6,20,-0.672116,0.0386031,0.673053,0.912759
6,21,-0.722009,0.000131418,1.47728,2.67286
6,22,-0.0149246,0.000142666,1.58657,3.03223
7,0,-0.319833,0.000163196,1.84357,3.54418
7,1,-0.554248,0.000517745,1.80897,3.49584
7,2,-0.25822,0.00290056,1.27426,2.42242
7,3,0.054904,0.00694968,0.589736,0.9103
7,4,0.219575,0.0153066,0.295052,0.248576
7,5,0.250711,0.0484657,0.33207,0.690059
7,6,0.122518,0.0217736,0.623223,1.34535
7,7,0.223109,0.0161582,0.578358,1.19181
7,8,0.316481,0.0314477,0.307252,0.564125
7,9,-0.306167,0.0704133,0.234914,0.462366
7,10,-0.180192,0.0578153,0.306209,0.45619
7,11,-0.125666,0.0411637,0.292547,0.337511
7,12,1.27231,0.0769067,0.168647,0.214275
7,13,-1.31552,0.032493,0.331707,0.439641
7,14,0.385628,0.106212,0.195104,0.285778
7,15,0.52269,0.122501,0.111388,0.28956
7,16,0.041701,0.0758678,0.162422,0.419702
7,17,-0.12631,0.0434585,0.185068,0.453752
7,18,1.21031,0.0149709,0.229161,0.464065
7,19,0.0326944,0.0198959,0.188356,0.378346
7,20,0.904961,0.048015,0.115012,0.238725
7,21,-0.0354814,0.00400044,0.514475,0.744598
7,22,-0.203749,0.000112657,1.30263,2.34619
8,0,-0.366392,0.000538263,0.902753,1.4858
8,1,-0.646967,0.000572506,1.41887,2.69354
8,2,0.152535,0.00132775,1.38902,2.84181
8,3,0.427434,0.00247203,1.21896,2.36065
8,4,-0.105908,0.00651704,0.753811,1.11341
8,5,0.229237,0.0220285,0.716625,1.36377
8,6,0.158255,0.0163906,0.796503,1.77623
8,7,-0.273839,0.0114115,0.777563,1.59833
8,8,-0.221585,0.0219905,0.427581,0.797475
8,9,-0.398976,0.0229572,0.311541,0.501622
8,10,0.0351579,0.0507069,0.268283,0.407379
8,11,-0.300937,0.0647514,0.219908,0.32483
8,12,-0.703961,0.0637741,0.256748,0.330948
8,13,-0.163188,0.124823,0.163671,0.29098
8,14,-0.31251,0.137238,0.13198,0.263624
8,15,0.0965349,0.0634854,0.242841,0.376368
8,16,-0.658398,0.00120003,1.46226,2.9995
8,17,0.218304,0.0307297,0.389439,0.613976
8,18,-0.270541,0.0162899,0.4206,0.63891
8,19,-0.292483,0.0436028,0.230755,0.344584
8,20,-0.298455,0.0489736,0.153687,0.218492
8,21,-1.18842,0.0100246,0.31071,0.357658
8,22,-0.0397288,0.00461568,0.547067,0.754421
9,0,-1.06315,0.0331898,0.19456,0.199931
9,1,-0.372334,0.0252691,0.76435,1.44269
9,2,-0.412402,0.000815888,1.80571,3.75945
9,3,-0.730687,0.000276403,2.55389,5.46265
9,4,-0.0604247,0.000406934,2.43022,5.13199
9,5,-0.0322501,0.00439246,1.96921,4.06186
9,6,-0.253702,0.00493413,1.94193,4.15128
9,7,-0.0597171,0.00615569,0.805556,1.61997
9,8,0.661075,0.0123506,0.515713,0.985598
9,9,0.726682,0.0235354,0.320375,0.536599
9,10,0.44365,0.0855182,0.136763,0.330423
9,11,0.465962,0.0468978,0.188194,0.340771
9,12,0.867357,0.0861399,0.122753,0.254126
9,13,0.627404,0.107448,0.125921,0.235862
9,14,-0.145626,0.0395961,0.306317,0.399572
9,15,-0.0431002,0.0101462,0.550862,0.770411
9,16,-0.0944176,0.00591035,0.667904,1.0017
9,17,-0.15238,0.00636874,0.665588,1.00204
9,18,0.693585,0.0101589,0.451755,0.639295
9,19,0.286023,0.0293655,0.292045,0.366428
9,20,-0.00530309,0.023209,0.281858,0.353056
9,21,1.76423,0.033847,0.111351,0.121479
9,22,0.363611,0.0619311,0.0867572,0.111773
10,0,-1.20824,0.0442222,0.267127,0.410766
10,1,2.30325,0.0265615,0.481765,0.837139
10,2,0.375503,0.000818,1.82128,3.85981
10,3,0.0622935,0.000173178,1.85551,3.95623
10,4,-0.473811,0.000276839,2.5993,5.55492
10,5,-0.221069,0.00054302,2.60918,5.44868
10,6,-0.0145114,0.00108694,1.98591,3.9962
10,7,-0.209585,0.00319246,1.40362,2.67331
10,8,-0.408291,0.00749686,0.740836,1.33689
10,9,0.877556,0.0283391,0.315481,0.572396
10,10,-0.326024,0.050243,0.27854,0.456408
10,11,-0.284399,0.0722238,0.266644,0.444503
10,12,0.0149244,0.071249,0.194135,0.258712
10,13,0.249923,0.0749977,0.201405,0.247444
10,14,-0.0844089,0.0122511,0.523573,0.715594
10,15,-0.0234876,0.0033435,0.775743,1.16633
10,16,-0.0383985,0.00244465,0.920373,1.45038
10,17,-0.0899585,0.00195085,1.0217,1.59987
10,18,-0.468525,0.0022494,1.05741,1.61541
10,19,0.232302,0.00209646,0.906434,1.33341
10,20,-0.031879,0.00152728,0.67211,0.955821
10,21,0.162475,0.0252627,0.224193,0.247088
10,22,1.27723,0.065777,0.118104,0.0590647
11,0,-0.644069,0.000945572,1.1161,1.95655
11,1,-2.2486,0.00045856,1.13904,2.15945
11,2,0.506654,0.000342252,1.37334,2.78571
11,3,-0.0677147,0.000259023,1.97756,4.16827
11,4,0.445041,0.00180309,1.06719,2.03532
11,5,0.415087,0.011395,0.648825,1.09034
11,6,0.0278075,0.00456263,0.729283,1.26979
11,7,-0.0209297,0.00773082,0.60179,1.06568
11,8,-0.013377,0.0187623,0.47209,0.793708
11,9,-0.6405,0.0315334,0.444704,0.622449
11,10,-0.818092,0.0403126,0.336682,0.473488
11,11,-0.381388,0.051688,0.309636,0.452897
11,12,0.545151,0.0549411,0.275298,0.344417
11,13,0.126892,0.0369206,0.444309,0.513355
11,14,-0.048709,0.00461788,1.00366,1.4215
11,15,-0.0912204,0.00175562,1.03458,1.58292
11,16,-0.0993009,0.00166442,1.13181,1.80945
11,17,-0.172559,0.00120056,1.21264,1.94247
11,18,-0.287112,0.000796207,1.39837,2.228
11,19,-0.750563,0.000403041,1.67449,2.59414
11,20,-0.901364,0.000153361,1.81675,2.82042
11,21,-0.576405,0.000126405,1.27303,1.94915
11,22,-1.26193,0.000577425,0.896376,1.35824
12,0,-0.680161,0.000278774,0.970165,1.62203
12,1,-0.734953,0.000241619,1.13409,2.12513
12,2,-1.17042,0.000600136,1.2016,2.37909
12,3,1.30908,0.00261443,0.872667,1.7115
12,4,-0.153332,0.000967301,1.02023,1.94041
12,5,-0.0471799,0.00118573,1.11136,2.09816
12,6,-0.216135,0.00250039,0.936568,1.66996
12,7,0.202259,0.0108227,0.553047,0.91058
12,8,-0.0377447,0.0215402,0.46191,0.929265
12,9,0.665561,0.0438345,0.198521,0.350736
12,10,0.0703081,0.0500356,0.276677,0.515229
12,11,0.34841,0.0560484,0.28799,0.483039
12,12,-0.71341,0.0308138,0.509073,0.660907
12,13,-0.0260741,0.00795189,1.03153,1.33764
12,14,0.34166,0.00614599,1.09216,1.45741
12,15,-0.615705,0.00351249,1.07967,1.60036
12,16,-0.193096,0.00278646,1.04737,1.61879
12,17,0.0639941,0.0206284,0.461598,0.943513
12,18,-0.120353,0.00213868,1.00273,1.5145
12,19,-0.0475906,0.00233618,0.818129,1.13514
12,20,0.799785,0.00465904,0.603923,0.760205
12,21,-0.532742,0.000340547,1.04199,1.50501
12,22,-0.694269,7.94e-05,0.975885,1.53547
13,0,2.12522,0.0245184,0.222426,0.296414
13,1,0.402814,0.0074209,0.350936,0.578951
13,2,-0.160519,0.00106183,1.0576,2.1441
13,3,-0.428944,0.000518061,1.60669,3.37855
13,4,0.227975,0.000926206,1.27642,2.56771
13,5,0.185521,0.00229974,0.91393,1.68432
13,6,0.245725,0.00259574,0.948161,1.76176
13,7,-0.23402,0.00411351,1.12003,2.20533
13,8,0.0713042,0.0111919,0.709852,1.31789
13,9,-0.0173088,0.0347504,0.307366,0.531765
13,10,0.0309397,0.0503069,0.281056,0.529052
13,11,-0.267845,0.0498623,0.382891,0.730338
13,12,0.0372944,0.0214494,0.450545,0.787395
13,13,-0.0705827,0.0159787,0.513405,0.950149
13,14,0.639958,0.0223101,0.359317,0.65108
13,15,-0.0312821,0.0129053,0.581647,1.01189
13,16,-0.312971,0.00902741,0.613949,0.94943
13,17,-0.524035,0.00812543,0.695238,0.996644
13,18,0.24636,0.0075304,0.708694,0.997455
13,19,-0.135495,0.0243036,0.304129,0.328366
13,20,-0.84998,0.0268811,0.213388,0.235485
13,21,1.03649,0.00885807,0.227951,0.243999
13,22,-0.276388,0.000358829,0.505312,0.750524
14,0,-0.662657,0.000583698,0.563983,0.966321
14,1,-0.309446,0.00124516,0.707668,1.30961
14,2,0.313009,0.000757957,1.21727,2.52205
14,3,0.29145,0.000631236,1.31399,2.71332
14,4,-0.256277,0.000509798,1.98201,4.15686
14,5,-0.0255487,0.000893019,2.01716,4.19521
14,6,-0.334673,0.00175441,1.56552,3.15759
14,7,-0.0417595,0.00579212,0.884353,1.60412
14,8,-0.00789539,0.0261551,0.455895,0.738918
14,9,-0.0794918,0.0522458,0.321631,0.697905
14,10,0.0616343,0.0658175,0.225174,0.542292
14,11,0.04558,0.0627525,0.283891,0.765279
14,12,-0.526508,0.0444339,0.431535,1.02982
14,13,0.450678,0.017455,0.466229,0.918296
14,14,-0.270999,0.0212029,0.544258,1.00836
14,15,-0.0521787,0.0122589,0.671957,1.16721
14,16,-0.171079,0.022838,0.374948,0.649864
14,17,-0.203653,0.0191212,0.357242,0.622828
14,18,0.446764,0.0510847,0.315563,0.477048
14,19,0.341502,0.124186,0.161007,0.205045
14,20,-0.753068,0.0457644,0.238867,0.35488
14,21,-0.149787,0.00474102,0.431465,0.570723
14,22,-0.0910717,0.000295889,0.547826,0.82497
15,0,-0.283007,0.000110085,0.733006,1.28065
15,1,-0.165902,0.000403876,1.05306,2.07134
15,2,-0.522073,0.000345168,1.62742,3.40299
15,3,0.234281,0.000497529,1.85407,4.03022
15,4,-0.144393,0.00109005,1.33256,2.70585
15,5,-0.405941,0.0031099,1.03894,1.95884
15,6,0.745419,0.00433398,0.726166,1.18475
15,7,-0.533351,0.0220782,0.538931,0.757554
15,8,0.50154,0.0860866,0.265811,0.520232
15,9,0.127763,0.0755031,0.282122,0.832922
15,10,-0.0415511,0.0632983,0.238506,0.708287
15,11,0.629764,0.0465362,0.289419,0.797632
15,12,0.253486,0.0320279,0.471062,1.1814
15,13,-0.338173,0.0226843,0.621257,1.22745
15,14,0.333546,0.0180317,0.64862,1.21179
15,15,-0.0379935,0.0369585,0.413138,0.818053
15,16,0.0593789,0.0381262,0.284358,0.651148
15,17,-0.0276334,0.027292,0.264103,0.624691
15,18,0.0453859,0.044077,0.142393,0.384434
15,19,2.70036,0.115469,0.0737485,0.244297
15,20,-0.695231,0.0478044,0.30485,0.554734
15,21,0.0580497,0.00647016,0.426652,0.665545
15,22,0.188458,0.000388112,0.574858,0.900324
16,0,-0.065495,6.67e-05,0.738118,1.28521
16,1,0.281035,0.000154259,1.07054,2.06981
16,2,0.102369,0.000265363,1.41094,2.89297
16,3,-0.211231,0.000289406,2.241,4.80417
16,4,0.157216,0.000568903,2.41374,5.26001
16,5,0.998154,0.00495511,1.25839,2.54017
16,6,0.62033,0.00594786,0.666099,1.1499
16,7,-0.226115,0.0153586,0.76025,1.24193
16,8,-0.0155937,0.0540333,0.552463,0.914101
16,9,0.416281,0.06245,0.472949,1.24521
16,10,0.132786,0.0420275,0.417254,1.04604
16,11,-0.106363,0.0585107,0.346581,0.947959
16,12,-0.212563,0.0262488,0.508121,1.4041
16,13,0.0641426,0.0187973,0.571468,1.32972
16,14,-0.317522,0.0270963,0.478829,1.032
16,15,0.215633,0.0473766,0.292872,0.75775
16,16,-0.0589645,0.0367913,0.337844,0.829214
16,17,0.151118,0.0289747,0.285476,0.7308
16,18,1.46037,0.0527889,0.133598,0.390093
16,19,-0.756024,0.0840324,0.190198,0.398151
16,20,-0.527668,0.034317,0.541347,0.941534
16,21,-0.251291,0.00455415,0.839489,1.35199
16,22,-0.357797,0.000284965,0.734981,1.19318
17,0,0.416531,6.91e-05,0.804747,1.45152
17,1,0.692213,0.000125331,1.01287,1.92387
17,2,0.178752,0.000228218,1.62539,3.3427
17,3,-0.355036,0.000287388,1.93103,3.9779
17,4,-0.0614055,0.000507139,2.33003,4.88073
17,5,-0.0226633,0.000706219,2.43327,5.0019
17,6,-0.715987,0.000883871,1.97953,3.94727
17,7,-0.576716,0.0051911,1.33077,2.49429
17,8,-0.0458098,0.0102059,1.04391,1.70682
17,9,-0.676561,0.0365786,0.741385,1.3576
17,10,0.442417,0.0703141,0.534278,1.24383
17,11,-0.213259,0.0983546,0.303378,1.05
17,12,0.894178,0.0308227,0.594899,1.71128
17,13,-0.174843,0.0259957,0.602368,1.4654
17,14,0.646603,0.0320514,0.376497,0.954869
17,15,0.0758883,0.0296201,0.5008,1.16392
17,16,-0.11093,0.029809,0.54193,1.13104
17,17,-0.0175136,0.0304486,0.545989,1.14556
17,18,-1.04557,0.0255048,0.384174,0.716381
17,19,0.330524,0.0147306,0.507087,0.956566
17,20,0.975249,0.00627644,1.00238,1.70406
17,21,0.234075,0.00717304,0.727328,1.1172
17,22,0.622186,0.000820622,0.612622,1.02006
18,0,-0.53931,4.87e-05,1.70944,3.34286
18,1,-0.171918,0.000169767,1.71101,3.50249
18,2,-0.196966,0.000289174,2.15512,4.40036
18,3,-0.643995,0.000668516,1.76266,3.48408
18,4,0.00136674,0.00151245,1.59499,3.11578
18,5,0.196789,0.00301238,1.23535,2.47916
18,6,0.842286,0.00452923,1.08205,2.39175
18,7,-0.32889,0.00818449,0.86466,1.88605
18,8,0.136976,0.0349557,0.527686,0.88058
18,9,0.183718,0.139993,0.299221,0.442685
18,10,0.141187,0.0837493,0.431289,1.17824
18,11,-0.423223,0.0674753,0.475198,1.28587
18,12,-0.0637608,0.042971,0.647964,1.80195
18,13,-0.754834,0.0360071,0.809625,2.30164
18,14,0.128188,0.036833,0.562659,1.30601
18,15,-0.0206402,0.0232351,0.827141,1.8136
18,16,-0.105918,0.0143839,0.895833,1.64792
18,17,-0.605384,0.0172304,0.941433,1.6454
18,18,-0.280924,0.0289077,0.721242,1.23281
18,19,-0.579577,0.0136345,0.797124,1.63091
18,20,-0.116129,0.00476979,0.905226,1.76422
18,21,0.150378,0.00288149,0.912264,1.66282
18,22,-0.366249,0.000338616,1.43213,2.6843
19,0,-2.27409,0.000192027,3.1411,6.07213
19,1,-0.526101,0.000919013,2.97935,5.6122
19,2,-0.800239,0.00090709,1.93608,3.52969
19,3,1.87508,0.00300502,0.86588,1.74667
19,4,0.319022,0.00322672,0.991166,2.22586
19,5,0.168046,0.00314197,1.36505,3.06036
19,6,-0.0313261,0.00508071,1.48085,3.37673
19,7,0.0992309,0.00843107,1.12696,2.57176
19,8,0.553243,0.00962138,0.761288,1.51762
19,9,-0.198626,0.0369953,0.606624,0.809912
19,10,-0.119405,0.0584304,0.664312,1.34654
19,11,-0.00743798,0.0507984,0.722045,1.7513
19,12,0.227321,0.0428056,0.646212,1.66219
19,13,0.303657,0.0213936,0.855928,2.36718
19,14,0.313571,0.0292722,0.851119,2.24074
19,15,-0.108788,0.0183488,1.0938,2.43473
19,16,-0.0986609,0.0131427,0.968271,1.83399
19,17,-0.444537,0.00514757,1.02045,1.77655
19,18,-1.13907,0.00873107,1.43848,2.48955
19,19,-0.0791747,0.00679584,2.16966,3.96609
19,20,0.156401,0.00274053,2.20087,3.89533
19,21,-0.338896,0.000634693,2.16155,3.95513
19,22,-0.502667,0.000238673,2.3194,4.44412
20,0,-1.16564,0.00185767,1.37292,2.42704
