x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
22,48,-0.532654,0.000249858,5.09032,11.4839
4,47,-1.27556,0.000464725,4.22825,9.94547
3,47,-0.13919,0.000300722,4.24968,9.93162
2,47,-0.115127,0.000220713,4.13508,9.56244
21,47,-0.0202658,0.000679639,4.01226,9.33515
0,48,1.10573,0.000189285,4.16118,9.26198
6,45,-1.05483,0.0054258,3.62842,9.11174
6,46,-0.567746,0.00281928,3.7448,8.72685
0,64,0.650667,0.00011563,3.72739,8.3827
22,63,-0.941984,0.000262767,3.23798,8.28382
1,47,-0.226529,0.000133424,3.41749,7.66638
5,47,-0.0788589,0.000959774,3.24981,7.57813
5,46,-0.0349899,0.00159545,3.16439,7.5733
21,43,0.265601,0.00102176,3.23421,7.40426
6,44,-0.0477866,0.0115101,2.82843,7.38804
3,48,-0.160927,0.000215924,3.36282,7.34632
0,63,0.593419,0.00035994,3.05205,7.30504
7,44,-0.476932,0.00925964,3.03537,7.30316
13,96,0.680103,0.000527535,3.12607,7.07612
13,0,7.58361,7.66E-06,3.56366,6.83854
14,0,5.99469,4.85E-06,3.53033,6.7584
21,42,0.563649,0.00164139,2.87263,6.6436
21,67,-1.24456,5.01E-05,2.79595,6.61262
22,47,-0.464376,0.000797614,2.86593,6.58623
7,46,0.265279,0.00505364,2.85579,6.47817
12,0,6.76385,7.53E-06,3.38927,6.47723
9,79,0.0272175,0.000317474,3.0449,6.47692
4,48,-0.0266761,0.000600312,2.91356,6.4635
9,49,0.224483,0.00305149,2.8508,6.41377
9,50,-0.83818,0.00133698,2.84278,6.39474
5,56,-0.693364,0.000315686,2.91106,6.3358
15,0,8.55817,6.00E-06,3.30289,6.27936
16,102,-0.169391,0.000579573,2.82169,6.20448
12,96,-0.20042,0.000455384,2.60738,6.16702
19,97,0.632621,0.00143179,2.78903,6.16502
4,69,-0.123397,0.000131499,2.6942,6.08165
4,49,-0.0212178,0.000508321,2.77762,6.0649
5,48,8.74E-08,0.00105516,2.69758,6.01189
15,102,-0.162397,0.000319308,2.70469,6.00392
10,79,-0.515219,0.000170894,2.84152,6.00377
19,47,-0.912022,0.00110046,2.61136,5.9917
21,48,-0.129363,0.00040922,2.75657,5.98723
13,39,1.06137,0.00114096,3.46405,5.95529
1,60,0.867314,0.000492972,2.63322,5.95201
2,61,1.41031,0.000160337,2.73816,5.93835
21,46,-0.246282,0.00297578,2.50017,5.90002
5,55,0.371882,0.000674071,2.59761,5.8664
16,103,-0.0312322,0.000563221,2.70739,5.85986
1,64,-1.12701,0.00014929,2.72419,5.80109
14,39,-3.03555,0.000132004,3.23061,5.7602
15,103,-0.0667822,0.000358369,2.61679,5.75808
17,102,-0.0304679,0.000667197,2.63907,5.75686
5,69,0.0166501,0.000171162,2.55698,5.75051
