y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
0,0,-0.0229423,7.66e-05,2.40595,4.52085
0,1,-1.85139,0.000113184,1.90571,3.53464
0,2,-0.252987,0.00113397,1.65885,2.85838
0,3,-2.41192,0.0178794,0.623785,0.859082
0,4,1.82012,0.0373135,0.227309,0.0857217
0,5,-0.288185,0.0452407,0.345982,0.31852
0,6,-0.660257,0.000454634,1.10884,1.6978
0,7,-0.547263,0.000149581,1.43911,2.32686
0,8,-0.539669,3.77e-05,1.49473,2.47165
0,9,0.568707,4.47e-05,1.52,2.54969
0,10,-0.669175,6.86e-05,1.59752,2.72747
0,11,-0.696829,7.86e-05,1.16349,1.93672
0,12,0.769916,0.00031911,0.933274,1.54794
0,13,-0.594892,0.000162732,1.23565,2.20798
0,14,0.664302,3.14e-05,1.51115,2.66772
0,15,-0.940556,7.83e-05,1.597,2.92964
0,16,-0.335946,0.000182663,1.54328,2.88363
0,17,-0.0121251,3.95e-05,1.92845,3.68092
0,18,0.325915,0.000135684,1.23392,2.2517
0,19,-0.894615,3.72e-05,1.30376,2.35154
0,20,0.590752,4.17e-05,1.61727,2.98952
0,21,-0.567443,2.7e-05,2.04244,3.8966
0,22,-0.543747,6.93e-05,2.34367,4.47933
1,0,0.453678,7.15e-05,1.2171,2.15553
1,1,0.397583,0.000520758,0.727776,1.16315
1,2,0.188814,0.0332145,0.203146,0.16596
1,3,0.651972,0.0420437,0.148892,0.136419
1,4,0.452462,0.0323094,0.187842,0.108553
1,5,1.20088,0.0228145,0.173873,0.16704
1,6,-1.17058,0.0167148,0.2757,0.289059
1,7,0.635399,0.0255309,0.230901,0.206695
1,8,-0.187311,0.00626789,0.473348,0.558428
1,9,-0.0629838,0.000118391,1.16786,1.75967
1,10,-0.355064,8.6e-05,1.32007,2.11198
1,11,0.328645,7.77e-05,1.27356,2.15368
1,12,-1.27401,5.73e-05,1.33907,2.28542
1,13,-1.02812,0.000180522,1.93344,3.46614
1,14,0.145603,1.9e-05,1.72493,3.18757
1,15,-0.486561,2.39e-05,1.44959,2.68111
1,16,0.160919,3.59e-05,2.08587,4.06057
1,17,-0.465145,4.49e-06,2.49771,4.8907
1,18,0.0257022,2.23e-05,2.11216,4.07338
1,19,2.09569,1.68e-05,1.47558,2.79407
1,20,0.185556,2.44e-05,1.69846,3.18695
1,21,0.128694,0.000143017,1.28742,2.41736
1,22,-0.0432686,0.000175453,1.14379,2.08584
2,0,0.534259,0.000248422,0.938281,1.57169
2,1,-0.602346,0.00165924,0.626809,0.924842
2,2,-0.125295,0.0329075,0.205816,0.202788
2,3,1.54981,0.10062,0.108081,0.0515996
2,4,0.643497,0.0139277,0.300165,0.286003
2,5,-1.31587,0.00502377,0.432814,0.455112
2,6,1.05294,0.0132786,0.348773,0.324531
2,7,0.0233438,0.0176752,0.314788,0.290567
2,8,0.324256,0.0147013,0.331657,0.310505
2,9,-0.799729,0.00991713,0.403271,0.362775
2,10,-0.657689,0.00188713,0.702031,0.895442
2,11,0.371094,0.00010064,1.07544,1.72108
2,12,1.02994,0.000782206,0.695995,1.1141
2,13,0.570611,0.00220484,0.700215,1.14985
2,14,0.723353,0.000330109,1.3963,2.41544
2,15,-0.929342,8.45e-05,1.59769,2.96163
2,16,0.28466,4.81e-05,2.64172,5.03623
2,17,-0.140731,3.01e-05,2.09316,4.01505
2,18,-0.40405,4.99e-05,1.35126,2.48143
2,19,-0.828303,3.71e-05,1.33632,2.48626
2,20,0.183515,6.27e-05,1.56531,2.93176
2,21,-0.674739,4.76e-05,1.55312,2.87559
2,22,-0.784356,0.000129013,1.33554,2.37358
3,0,-1.34645,0.00052632,0.931193,1.51214
3,1,-0.176394,0.00222911,0.607615,0.866888
3,2,-0.362642,0.0015384,0.544498,0.727298
3,3,-0.723802,0.000412287,0.584818,0.757053
3,4,-0.191941,0.000372023,0.483105,0.56762
3,5,-0.110916,0.005042,0.33306,0.35847
3,6,-0.817689,0.0076115,0.360094,0.396172
3,7,0.232594,0.029191,0.23313,0.234621
3,8,-0.383031,0.0804884,0.150109,0.197149
3,9,0.443713,0.094595,0.129783,0.236496
3,10,-0.142113,0.0387112,0.293646,0.358122
3,11,-0.0527533,0.00429153,0.680254,0.918151
3,12,-1.36293,0.00214973,0.949833,1.49688
3,13,-0.190184,0.00312887,0.912194,1.47882
3,14,-0.86956,0.00253604,0.597801,0.911223
3,15,-0.255231,0.00046178,1.17325,2.09425
3,16,-0.812438,0.00256058,1.48568,2.50452
3,17,-1.46419,0.00156102,1.95003,3.52689
3,18,1.63493,0.00026958,1.28411,2.38886
3,19,1.49555,8.13e-05,1.1816,2.21387
3,20,-0.587361,6.33e-05,1.54202,2.85663
3,21,1.27993,0.000355848,0.646391,1.0856
3,22,0.744636,0.000445271,0.816518,1.36454
4,0,1.01198,0.00512054,0.399886,0.608255
4,1,1.10536,0.018726,0.250549,0.375281
4,2,0.397108,0.0337735,0.181531,0.223945
4,3,-0.402632,0.00375289,0.380927,0.460712
4,4,-0.000462637,0.000406786,0.431073,0.494569
4,5,-0.697022,0.00345958,0.455428,0.52395
4,6,-0.0332429,0.00887328,0.389577,0.485917
4,7,1.22272,0.0359285,0.205609,0.278278
4,8,0.681238,0.0680707,0.125922,0.248209
4,9,0.29082,0.0884199,0.108132,0.269609
4,10,-0.00478828,0.0574457,0.189042,0.299907
4,11,-0.0372975,0.02728,0.238462,0.276007
4,12,-0.173739,0.106493,0.139128,0.139509
4,13,1.57105,0.108318,0.0919107,0.153893
4,14,-0.385715,0.0279338,0.439663,0.66582
4,15,0.152989,0.0149371,0.860278,1.41518
4,16,0.182422,0.0930213,0.207005,0.265491
4,17,-1.08425,0.0286804,0.469267,0.531705
4,18,-0.785927,0.00521829,1.69827,3.04583
4,19,-2.62897,0.00273996,1.90013,3.46398
4,20,-0.355767,0.000167233,1.56479,2.84038
4,21,-0.364343,0.000138613,1.18772,2.18181
4,22,-0.232671,0.00103253,0.777859,1.29124
5,0,-0.713453,0.000667985,1.07242,1.88652
5,1,-0.328524,0.00619408,0.637416,1.05122
