x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
20,53,-0.00792636,0.00030109,4.66457,10.9438
21,53,-0.0309209,0.000135922,4.60922,10.862
3,52,-0.272945,0.000831744,4.21197,10.6886
5,51,-0.521198,0.00416486,3.73164,9.55841
1,52,-0.306888,0.000297588,3.87468,9.53588
5,50,-0.5809,0.00692731,3.62892,9.50547
0,52,-0.191515,0.00021535,3.85483,9.39291
2,52,-0.372934,0.000589739,3.73795,9.27188
4,51,-0.372336,0.0020085,3.45824,8.98968
4,52,-0.467778,0.0010284,3.51998,8.82869
20,52,-0.0715026,0.00109415,3.5731,8.54252
2,53,-0.110025,0.000362013,3.51495,8.45943
6,49,-0.433151,0.00736358,3.20545,8.20543
3,53,-0.0315733,0.000966092,3.3119,8.0947
19,52,-0.141573,0.000939286,3.31258,7.92333
7,55,-0.162966,0.00183223,2.90254,7.84137
11,101,-0.198274,0.000409923,3.23261,7.70938
7,56,-0.193272,0.000910823,2.81959,7.6927
22,69,0.732056,0.000114394,3.69418,7.62545
1,53,-0.287525,0.000124922,3.17928,7.49014
6,50,0.300241,0.00618981,2.91227,7.44169
6,51,0.0677674,0.00688632,3.01708,7.3909
0,65,-0.263947,0.000105951,3.2093,7.35118
8,54,-0.068677,0.00371914,2.84532,7.18375
13,44,-0.968046,0.000152292,3.55799,7.12997
4,60,-0.0303923,0.000785398,2.94481,7.1159
3,60,-0.0689424,0.00026479,2.92746,7.10187
17,102,-0.11174,0.000845999,3.26179,7.09399
22,52,-0.202284,0.00026991,2.99772,7.08097
1,65,-0.326778,0.000123366,3.03617,7.06931
21,68,-0.709743,0.000291903,3.13617,7.00118
12,45,1.48409,0.00121694,3.6841,6.95013
13,104,1.19208,0.000591976,3.08434,6.87707
22,65,0.261062,0.00032711,3.04067,6.86342
1,59,-0.0752699,6.50E-05,2.73837,6.85633
5,49,0.389503,0.0109713,2.54421,6.84423
3,54,-0.0471299,0.000639636,2.78952,6.72749
22,53,-0.557703,0.000274081,2.86644,6.66491
2,59,-0.163693,0.00011375,2.68341,6.66249
8,84,-0.145278,0.000232056,2.89884,6.60173
14,44,-2.77519,0.000791964,3.29405,6.59847
8,55,-0.0826599,0.0017643,2.60862,6.58813
3,59,-0.0408634,0.000506121,2.61407,6.51025
6,59,0.0352324,0.00105295,2.62798,6.50237
19,51,-0.0545171,0.00194552,2.65173,6.46684
12,101,-0.055108,0.000498339,2.8905,6.45863
14,102,-0.309934,0.00038938,2.99347,6.45745
20,47,0.18826,0.00182386,2.90022,6.43813
9,53,-0.14676,0.0033255,2.73846,6.43726
21,69,-0.62955,0.000130014,3.06348,6.43006
3,74,0.0977873,0.000105318,2.90164,6.40663
7,93,-0.734702,0.000762755,2.70187,6.35818
12,44,0.274591,0.00106036,3.27338,6.33134
13,102,-0.316573,0.000190053,2.9605,6.30461
4,53,-0.00249712,0.00153165,2.62269,6.28875
13,80,-0.27077,0.00328851,2.59248,6.28005
5,60,-0.0809848,0.00113454,2.57235,6.25695
18,52,-0.461313,0.00106199,2.65974,6.25174
0,53,-0.252224,0.000231606,2.70859,6.24069
6,60,-0.0480644,0.00111995,2.56054,6.23745
1,55,-0.030286,9.07E-05,2.52456,6.22526
20,51,-0.038532,0.00281839,2.59996,6.1994
15,102,-0.105922,0.000630349,2.8279,6.19799
4,59,0.0076272,0.00120617,2.51487,6.16691
4,50,-0.178938,0.00786245,2.35945,6.09708
19,53,-0.0773432,0.000620766,2.65125,6.08145
0,69,-0.534913,3.38E-05,2.95369,6.06501
7,84,0.0145194,0.000230228,2.69816,6.0385
20,48,0.159444,0.00146064,2.71765,6.02984
22,68,-0.15975,0.000394594,2.842,6.0246
19,104,0.0206327,0.0014125,2.61631,6.01407
8,53,-0.254471,0.00647506,2.46439,5.96739
16,102,-0.250449,0.000527787,2.77225,5.96738
18,102,-0.0311273,0.00168314,2.72603,5.91695
9,62,-0.134963,0.00142653,1.98868,5.91612
6,55,-0.284993,0.000977248,2.26969,5.85357
5,59,-0.0101829,0.00127785,2.39306,5.84551
7,54,0.102442,0.00526392,2.23365,5.81398
21,52,0.215292,0.000842147,2.53208,5.80565
6,48,-0.137282,0.011201,2.24402,5.79354
19,50,-0.221604,0.00225884,2.33112,5.75555
10,102,-0.336559,0.000303232,2.34295,5.73773
7,57,0.0444705,0.000964039,2.18433,5.72112
7,51,0.047991,0.00642804,2.39657,5.71284
1,68,-0.204794,0.000180333,2.62975,5.7119
0,56,-0.139763,0.000217277,2.23877,5.70496
20,68,-0.348061,0.000473948,2.58739,5.67527
12,102,-0.566294,0.000329036,2.60584,5.66781
15,26,0.365746,0.00016679,2.81368,5.66025
10,101,-0.265458,0.000529954,2.32547,5.6385
14,104,-0.0478953,0.000768503,2.54614,5.63151
7,58,-0.140632,0.000920292,2.13132,5.58486
9,54,-0.11607,0.00216331,2.43784,5.56319
2,60,-0.387818,7.74E-05,2.35264,5.55655
5,48,0.345234,0.0143839,1.98643,5.5435
7,49,-0.185551,0.0069787,2.49345,5.53986
21,54,0.883543,0.00119903,2.67564,5.53897
2,55,-0.274338,0.000259228,2.35041,5.53428
20,72,-0.460204,6.26E-05,2.62298,5.525
10,98,-0.92131,0.000421051,2.30328,5.51246
5,52,0.156116,0.00255978,2.33188,5.49874
6,82,-0.217833,0.00035361,2.53562,5.49359
1,69,0.0366621,8.25E-05,2.63924,5.47714
0,59,-0.47704,0.000157856,2.25223,5.47648
13,45,-0.0423924,0.000298216,2.93813,5.47193
4,54,-0.0729524,0.00103283,2.30575,5.46521
2,69,-0.227578,0.000163242,2.51098,5.44682
7,59,0.119035,0.00118453,2.14136,5.44379
11,79,-0.0345781,0.00388061,2.17032,5.43529
19,48,-0.239014,0.00300023,2.40259,5.41567
13,105,-0.502827,0.000666983,2.46983,5.40218
8,56,-0.079278,0.00109483,2.1377,5.39891
8,28,0.292577,2.17E-05,2.68352,5.39114
4,49,-0.0160074,0.0136743,2.10098,5.38494
10,52,-0.144861,0.00245274,2.55745,5.37979
20,104,-0.241857,0.0015843,2.34452,5.36733
18,48,-0.108755,0.0029575,2.37021,5.35775
8,83,0.00889827,0.000263838,2.29524,5.35267
6,58,0.115105,0.0014018,2.17615,5.34996
16,103,-0.120745,0.000420052,2.47534,5.31698
21,48,0.161377,0.000674673,2.52113,5.31071
22,64,-0.0852245,0.000502578,2.24754,5.31008
10,79,-0.25261,0.00194617,2.16762,5.30903
10,46,-0.690111,0.00170624,2.52596,5.30895
15,101,-0.168771,0.00107065,2.38743,5.27147
8,27,0.0101438,3.18E-05,2.59013,5.26893
15,103,-0.03739,0.000737878,2.42604,5.25743
14,26,-0.448261,7.52E-05,2.60157,5.24155
19,56,-0.130863,0.000942042,2.17897,5.24055
11,45,-0.259868,0.00289622,2.62984,5.2383
19,72,-0.275657,9.84E-05,2.48856,5.20928
7,85,-0.0605221,0.00022586,2.38053,5.20362
12,80,-0.806823,0.00245711,2.20072,5.20294
1,71,-0.0424238,8.82E-05,2.52414,5.17788
7,82,-0.205416,0.000258298,2.31082,5.16755
5,47,-0.0248203,0.0168954,1.892,5.16621
9,61,-0.0956998,0.00329369,1.74792,5.15149
19,57,-0.076267,0.000781363,2.16838,5.14398
7,50,0.380801,0.00735975,2.17753,5.14352
19,47,-0.264573,0.00366191,2.27622,5.14326
3,49,-0.50186,0.0111118,2.18307,5.12512
11,46,-0.0385684,0.00246903,2.52992,5.11609
18,49,-0.401411,0.00310924,2.2711,5.11504
9,36,-0.352536,0.000166935,2.60102,5.11192
9,52,0.024211,0.00561876,2.29187,5.10982
5,55,-0.187642,0.000990541,2.07679,5.10528
6,81,-0.0202359,0.000778107,2.26404,5.10359
22,57,-0.108277,0.000388471,2.10011,5.09566
18,101,-0.107541,0.00314859,2.24589,5.0895
11,50,-0.02882,0.0018236,2.44285,5.08811
3,61,0.0741521,0.000264497,2.28419,5.08507
0,64,-0.00126255,0.000547645,2.12665,5.0756
0,68,0.0506458,6.23E-05,2.42871,5.07528
18,34,-0.212442,0.000198995,2.55606,5.07143
0,58,-0.0497512,0.000306394,2.06866,5.06905
15,43,-0.0212905,0.000283445,2.46381,5.06716
6,61,-0.0609168,0.00169495,2.1437,5.06199
21,104,-0.505658,0.00191795,2.12096,5.06118
2,54,-0.0424088,0.000414145,2.21759,5.06004
16,51,0.203244,0.000555402,2.55821,5.05605
6,52,0.084052,0.00649426,2.16638,5.05359
2,71,-0.288758,0.000139287,2.38959,5.04297
21,47,-0.0249552,0.000656007,2.4277,5.03432
9,102,-0.340389,0.000707317,2.10782,5.0085
20,103,-0.185726,0.00270566,2.14548,5.00437
14,105,-0.0696289,0.00058966,2.29952,4.99703
9,84,-0.171584,0.000167768,2.21666,4.98776
4,74,0.113077,0.000209318,2.27633,4.95768
8,97,-0.324318,0.000718474,2.13482,4.95685
9,98,-1.7879,0.00121481,2.15328,4.95658
3,69,-0.523441,0.000145083,2.24799,4.95624
22,51,-0.0127284,0.00139331,2.1373,4.95382
9,63,-0.103528,0.00121697,1.73096,4.94723
7,52,-0.660457,0.00931869,2.1233,4.9296
11,85,-0.0403254,0.00178714,2.14857,4.92567
15,104,-0.155395,0.000655556,2.27743,4.92482
14,103,0.0186647,0.000901537,2.30211,4.92391
1,56,-0.145406,8.88E-05,2.02868,4.918
10,85,-0.229327,0.000370402,2.17878,4.91588
8,93,-0.911492,0.001275,2.0104,4.90601
10,51,-0.010518,0.00267211,2.32785,4.89289
20,50,-0.0214164,0.00422412,2.02799,4.88705
19,103,-0.215113,0.00261881,2.17521,4.86617
17,52,-0.0965131,0.000620626,2.25371,4.8657
22,58,0.0455765,0.000280163,2.09209,4.8553
4,61,-0.141419,0.000745802,2.19694,4.84837
9,27,-0.187191,5.98E-06,2.39812,4.83795
7,48,-0.0552663,0.00588015,2.19511,4.83589
18,53,-0.0511789,0.00134082,2.10559,4.82981
20,54,-0.123309,0.00103389,2.23409,4.81931
1,78,0.0531733,0.000221331,2.34025,4.81544
5,56,-0.052055,0.00100893,1.99556,4.79167
21,58,-0.0712955,0.00038736,2.16198,4.78464
14,79,-0.530679,0.00258613,1.97198,4.78431
6,85,-0.00259458,0.000172446,2.17057,4.7811
17,50,-0.982847,0.00209669,2.26664,4.77208
11,80,-0.236921,0.00215402,2.05573,4.7643
8,48,0.0335308,0.00370168,2.24259,4.75436
19,49,-0.098911,0.00386503,2.0578,4.74985
0,66,0.175462,7.39E-05,2.28829,4.74531
4,85,-0.100397,0.000316637,2.21311,4.72734
7,83,-0.134168,0.000405899,2.10913,4.70927
6,56,0.0364204,0.000968726,1.87703,4.70236
8,62,-0.232764,0.00191163,1.72097,4.70122
17,51,-0.673086,0.00133363,2.20445,4.69862
2,77,-0.166157,0.000182957,2.28856,4.69637
22,56,0.03238,0.000894902,1.89835,4.69207
2,68,0.0789234,0.000282755,2.13652,4.68951
9,90,-0.114246,0.00033276,2.05546,4.68709
18,41,-0.0455734,0.000497037,2.27761,4.68631
10,47,-0.245545,0.00205128,2.2553,4.68311
8,63,-0.098219,0.00151772,1.74019,4.68133
5,79,-0.0872535,0.000416121,2.11963,4.66252
13,26,-0.23316,3.24E-05,2.31184,4.64889
4,0,4.12617,8.27E-06,2.46638,4.64827
2,74,-0.0849381,0.000177827,2.21982,4.64595
11,51,-0.0452725,0.00120338,2.28431,4.64344
5,85,-0.209292,0.000255466,2.14254,4.63902
21,51,0.124944,0.00232356,2.04312,4.63877
5,61,-0.303076,0.00159052,1.99262,4.63407
10,53,-0.163944,0.00165399,2.26546,4.63267
20,69,-0.213397,0.00024979,2.23331,4.62687
19,105,-0.00381604,0.00141472,2.07494,4.62238
8,47,0.0616097,0.00444575,2.21499,4.62209
0,80,0.106976,0.00193932,1.97465,4.615
4,86,-0.168443,0.00024672,2.21393,4.60796
2,65,-0.176888,0.000398639,2.08988,4.60597
0,71,-0.201203,6.01E-05,2.33493,4.59932
11,44,-0.593916,0.00377729,2.38182,4.5943
5,81,-0.0219794,0.000372624,2.13703,4.58746
6,47,0.0127267,0.0136345,1.90511,4.58695
8,49,-0.119196,0.00417928,2.19766,4.58272
2,78,0.0636189,0.000213438,2.30389,4.58072
10,90,-0.0588116,0.000428478,2.03389,4.57279
4,57,-0.0493895,0.00117085,1.94126,4.56959
1,66,0.044117,0.000181552,2.14824,4.56884
16,101,-0.22434,0.00187663,2.14696,4.56767
9,47,-0.612703,0.00162034,2.26545,4.5659
6,54,0.246408,0.00325679,1.80623,4.56294
8,64,0.00407127,0.00137428,1.7363,4.55888
4,69,-0.181768,0.000156031,2.05193,4.55646
3,51,0.662384,0.00458991,1.83785,4.55612
8,22,-0.0159844,6.45E-05,2.35402,4.5548
5,78,-0.219883,0.000429081,1.99647,4.55127
11,102,-0.762736,0.000601202,2.00688,4.5494
0,55,0.136023,0.000526284,1.849,4.54732
2,75,-0.145289,0.000150293,2.21237,4.54698
6,62,-0.0140481,0.00208785,1.95918,4.53853
6,86,-0.267261,0.000163161,2.08012,4.5352
