y,x,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
0,0,-0.23316,3.24e-05,2.31184,4.64889
0,1,-0.448261,7.52e-05,2.60157,5.24155
0,2,0.365746,0.00016679,2.81368,5.66025
0,3,-1.12275,0.000134618,2.2936,4.49444
0,4,-0.589259,0.00123307,1.40527,2.51854
0,5,-0.530842,0.0208438,0.607926,0.885821
0,6,0.74145,0.0394099,0.31536,0.227891
0,7,0.0903627,0.01258,0.672288,0.917761
0,8,-0.475913,0.000498021,1.14456,1.81006
0,9,-0.401562,0.00012206,1.36882,2.23686
0,10,-0.314741,3.67e-05,1.57487,2.64931
0,11,-0.0834938,3.35e-05,1.62916,2.81474
0,12,-0.0506422,2.85e-05,1.43701,2.4803
0,13,0.0918699,3.8e-05,1.24337,2.13864
0,14,0.0363509,8.79e-05,1.36436,2.46927
0,15,-0.0327632,4.55e-05,1.52246,2.83656
0,16,0.246357,7.49e-05,1.84461,3.49843
0,17,-0.145081,0.000143108,1.74682,3.35232
0,18,-0.00939221,0.000100398,1.85946,3.67037
0,19,-0.0608504,9.28e-06,1.91968,3.80106
0,20,0.00782768,2.72e-06,1.86976,3.65763
0,21,-0.0906931,6.35e-06,1.89724,3.73219
0,22,-0.0673219,1.46e-05,1.95549,3.87726
1,0,-0.063782,3.02e-05,2.12934,4.28526
1,1,-0.049882,4.85e-05,1.9752,3.90791
1,2,-0.0528447,5.68e-05,1.6836,3.20039
1,3,-0.173466,0.00294103,0.917103,1.55742
1,4,0.865416,0.057322,0.223153,0.228945
1,5,-0.142158,0.037573,0.176093,0.0871589
1,6,0.870363,0.0259675,0.249621,0.263034
1,7,0.178085,0.0163497,0.327177,0.46987
1,8,0.219856,0.0122141,0.375666,0.465997
1,9,0.294721,0.00882187,0.456773,0.528039
1,10,-0.0705443,0.00185412,0.739356,1.00117
1,11,-0.131925,0.000250897,1.1131,1.68323
1,12,-0.199298,4.01e-05,1.31306,2.1543
1,13,-0.183899,1.94e-05,1.3121,2.23839
1,14,-0.167805,5.17e-05,1.42277,2.54515
