x,y,CB_Gauss_Curvature,CB_WSS [pa],TB_Gauss_Curvature,TB_WSS [pa],LP_Gauss_Curvature,LP_WSS [pa],OR_Gauss_Curvature,OR_WSS [pa]
20,20,-0.152632,4.15952,1.61885,1.1931,-0.304209,2.30491,-0.755523,3.79624
19,20,-0.0762572,4.04623,-0.0214583,3.52025,-0.37783,3.91169,1.23403,2.00159
18,20,-0.0512595,4.15097,-0.414281,3.65836,-0.56619,3.81964,-0.408803,2.97035
17,20,-0.0842392,4.23819,0.491564,3.37858,-0.634231,4.21019,1.47489,4.05794
16,20,-0.0325479,3.84711,0.473431,4.08573,-0.785769,4.31396,-0.742763,4.30045
15,20,-0.00273385,2.98509,-0.00832597,4.38191,0.678922,3.90087,1.98553,1.71101
14,20,0.0156084,2.14117,-0.0659494,2.64065,-0.207318,3.0398,0.0323802,2.54013
13,20,0.019811,1.64953,0.0150511,1.94552,0.450793,1.81928,-0.291104,1.15821
12,20,0.0143069,1.61045,0.00234956,1.48904,0.0405672,2.37644,-0.653973,1.08634
11,20,0.0254164,1.889,0.0692628,1.0775,-0.160245,1.86957,-1.01275,1.56812
10,20,0.0126751,2.40145,0.0850579,1.43155,-0.273867,1.55899,0.290027,1.67871
9,20,0.0118597,2.85158,-0.0800558,1.78241,0.262936,2.24516,-1.78551,3.10339
8,20,0.012655,3.08502,0.00864105,2.55308,-1.04935,3.5969,-1.42961,4.77003
7,20,0.0216526,3.14206,0.0542577,4.13589,0.340551,2.69625,1.26269,3.75872
6,20,0.0323897,2.92756,-0.16366,3.93976,-0.120921,2.05027,-1.32276,2.07688
5,20,0.0159945,2.82021,-0.250366,2.93542,0.649023,1.93385,2.09248,3.15572
4,20,-0.0401286,3.09909,0.00454245,3.22177,0.538631,3.31368,-3.60531,3.27043
3,20,-0.165542,3.72744,-0.428315,3.9416,0.0245792,4.69851,2.81887,4.76572
20,21,-0.0110078,4.00523,-0.262738,2.3206,0.0641847,2.07914,-0.0532105,3.38227
19,21,-0.00800476,4.3732,-0.614839,3.62171,0.457288,4.27671,1.28064,2.97838
18,21,0.0296118,4.46895,0.516904,3.85458,-0.218845,3.11504,-0.513027,4.17049
17,21,0.274719,4.453,0.232044,4.38,0.843347,2.84188,-0.283804,5.42881
16,21,0.0552747,4.29732,-0.264573,5.14326,1.50595,3.71452,0.563649,6.6436
15,21,0.0466478,3.564,0.18826,6.43813,-0.310064,4.58074,-0.91961,4.60195
14,21,0.0299086,2.7083,-0.0249552,5.03432,0.0110075,5.26409,0.0686136,2.10622
13,21,0.0243196,2.03844,-0.0957016,2.93541,-0.066375,3.45179,-0.413828,0.973841
12,21,0.055409,1.67893,0.0892707,0.91913,-0.534757,2.48118,0.324459,0.957742
11,21,0.0952736,1.76832,0.113973,0.792875,0.251292,1.11573,0.554281,1.33973
10,21,0.116006,2.23585,0.288279,1.61305,0.061756,1.31809,-0.448102,1.63672
9,21,0.118028,2.89383,0.809944,2.08977,1.01816,1.5715,1.0012,3.15919
8,21,0.076784,3.66143,0.132893,3.27991,-0.25447,3.78428,0.73909,5.54873
7,21,-0.0037585,3.96916,-0.0248203,5.16621,-0.121767,3.28248,-0.444907,3.05792
6,21,-0.044663,3.59319,0.0127267,4.58695,0.0362689,2.8061,-0.590286,3.58712
5,21,-0.0792535,3.47209,-0.0855201,3.44817,-0.552213,3.80114,-0.33645,4.61948
4,21,-0.118414,3.77227,0.0616097,4.62209,0.059172,4.53292,-1.51258,3.88368
3,21,-0.149234,4.34079,-0.612703,4.5659,-0.0674417,4.59902,-1.08114,3.74653
20,22,-0.242533,3.91724,-1.20449,2.71115,-1.0018,3.79899,-1.92254,3.43899
19,22,-0.127284,4.51276,-0.155499,3.34627,-0.82759,3.69042,-1.19912,3.85773
18,22,-0.122541,5.21839,-0.334066,4.34355,1.19914,3.90932,1.00379,5.20008
17,22,-0.0724061,5.67724,-0.108755,5.35775,-0.294609,4.94149,1.23103,4.60285
16,22,-0.0227983,5.32585,-0.239014,5.41567,-0.514496,5.63385,0.265601,7.40426
15,22,-0.00551796,4.50856,0.159444,6.02984,-0.331405,5.75955,0.443734,4.69483
14,22,0.0206958,3.52649,0.161377,5.31071,0.220993,6.57723,0.765596,2.06919
13,22,0.0401404,2.47231,-0.0698849,3.31322,-0.356636,5.42128,1.16047,1.0714
12,22,0.069,1.68645,0.229873,1.49468,0.0611954,2.36991,-0.513625,0.881004
11,22,0.143681,1.62943,0.168294,0.619893,0.121664,0.820259,0.727836,1.63993
10,22,0.177378,2.20305,0.139539,1.8853,0.140838,1.33647,0.39447,3.48556
9,22,0.176456,3.12097,0.0897902,3.49454,0.711049,2.02821,1.34424,3.26096
8,22,0.059492,4.37047,0.0273942,4.45815,0.413826,4.32718,-0.00821435,5.07099
7,22,0.0323013,4.71074,0.345234,5.5435,-0.0670717,4.08783,-0.481157,5.07915
6,22,0.0329825,4.24926,-0.137282,5.79354,-0.101576,4.25776,0.114352,4.2206
5,22,-0.0285326,4.0562,-0.0552663,4.83589,-0.458394,4.15432,-0.565473,4.31859
4,22,-0.0854257,4.20876,0.0335308,4.75436,-0.630566,3.81318,2.65166,2.3775
3,22,-0.133003,4.52275,-0.0798143,3.79015,0.150631,3.53445,-1.06157,2.58921
20,23,-0.0965521,3.22244,-0.350939,2.40739,0.624288,2.63107,1.92679,2.55415
19,23,-0.0128403,3.82309,0.167952,2.84354,-0.398094,3.90303,0.563356,2.61976
18,23,-0.0302441,4.59,0.177906,4.45296,-0.498367,3.96381,-0.72878,4.99446
17,23,-0.0583428,5.39525,-0.401411,5.11504,0.117448,5.35813,-1.02552,3.95614
16,23,-0.0390129,5.65472,-0.098911,4.74985,-0.432541,5.77161,-0.450589,3.7395
15,23,-0.0241787,5.05003,0.0617273,3.67349,0.00998785,5.77567,0.0593384,3.46623
14,23,-0.00454573,4.14708,0.0870439,3.2301,0.255593,6.03617,-1.00011,3.07198
13,23,0.0246756,3.14341,0.0122054,2.89231,0.0286874,4.44844,-0.00924082,2.70838
12,23,0.057108,2.39806,0.093713,2.29733,-0.217749,2.23421,0.254556,3.28984
11,23,0.081557,2.25811,-0.136022,2.79786,0.289026,1.3173,-0.443,3.57969
10,23,0.11682,2.86502,-0.227897,4.07285,0.087089,2.0663,-0.145439,5.21129
9,23,0.11065,4.13744,-0.50186,5.12512,-0.181868,3.82483,1.39983,3.22159
8,23,0.0736963,5.30183,-0.0160074,5.38494,0.125008,3.76661,-0.0477866,7.38804
7,23,0.054429,5.73931,0.389503,6.84423,0.011082,5.9016,-0.476932,7.30316
6,23,0.0217894,5.38121,-0.433151,8.20543,-0.00956494,5.01939,-0.422316,4.90708
